Wert	Kommentar
edgelist	Grundregel: Die Edgelist darf pro Spalte immer nur einen Wert enthalten. Bis auf die ID idealerweise numerisch codiert (als Zahl).
from	definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort
to 	definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen 
relationship	1=Mitglied, 2=Kollegen, 3=Familie, 4=Interessensvertretung, 5=Liebesbeziehung, 6=Geldfluss, 7=Freunde
nodelist	Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.
id	eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird. Bei Akteuren werden die Inizialien in Kleinbuchstaben dargestellt. Lobbys in Großbuchstaben.
name	Name oder Bezeichnung des Aktuers und der Organisation 
sex	1= weiblich, 2=männlich
type	1=Personen, 2=Organisationen
country	Herkunftsland
NA	definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus..
	
Bearbeitungshinweise	
Achten Sie bitte auf die Kommentare in den Spalten. Diese erklären genauer, welche Daten erfasst werden. 	
Sie sehen die Kommentare, wenn Sie auf die entsprechende Spalte gehen. 	
Skizzieren Sie zunächst Ihr Netzwerk bzw. die Daten, die für Sie relevant sind. 	
Welche Informationen wollen Sie erheben? Wie müssen diese erfasst sein?	
Legen Sie bitte im Codebuch möglichst genau fest, wie die Daten erhoben werden (Codebuch)	
Bitte verwenden Sie keine Sonderzeichen in der Erfassung, dazu gehören Satzzeichen, Umlaute, etc.	
Verpflichten Sie alle Teammitglieder darauf, das Codebuch zwingend einzuhalten. 	
Wer seine Daten nicht sauber erstellt muss diese nachbereinigen.	
Dokumentieren Sie jeden Schritt Ihrer Datenerfassung mit, um dies zu rekonstruieren.	
Nutzen Sie das Skript zur Datenbereinigung auf dem letzten Reiter!	